BIG
NVDA
AMD
DHI
VEEV
PFSI
ADBE
LOW
WST
PLMR
ENTG
STMP
AMZN
PYPL
CDNS
NFLX
DG
TSCO
EBS
FIZZ
SNPS
WDAY
MRVL
IPHI
PKI
KL
VRTX
TMO
BABA
XP
MSFT
TER
VIRT
NDAQ
ASML
ATVI
BERY
AKAM
FUTU
APPS
IIPR
INTU
SCPL
IR
PANW
BMY
FTNT
ALXN
PETS
HZNP
