,Symbol,SL,TP,Squeeze
0,NVDA,536.670185546875,484.331171875,True
1,VEEV,270.0174971008301,240.00499176025392,True
2,AMZN,3182.7868395996093,2971.2067553710935,True
3,IPHI,153.25909629821777,142.0345964050293,True
